image_url,temple_name
https://assets.churchofjesuschrist.org/2d/bf/2dbf715b582825281c2d291b02003ee2e3842317/tegucigalpa_honduras_temple_lds.jpeg,Tegucigalpa Honduras
https://assets.churchofjesuschrist.org/2e/f9/2ef92a06f1e511eebed4eeeeac1ea3081b24aff4/pittsburgh_pennsylvania_temple_exteriors.jpeg,Pittsburgh Pennsylvania
https://assets.churchofjesuschrist.org/2J/fD/2JfDhZIwiwjNL9yhTwFrWkVOzTT1rTrOxjdfBZ9q/san_pedro_sula_honduras_temple_exteriors.jpeg,San Pedro Sula Honduras
https://assets.churchofjesuschrist.org/31/78/31781c53c0b1fcc25769f1636d596c02e0042dce/sydney_australia_temple_sunset.jpeg,Sydney Australia Temple
https://assets.churchofjesuschrist.org/32/06/32063b0e351e47f76db1a50009f685761f48524d/stockholm_sweden_lds_temple.jpeg,Stockholm Sweden Lds
https://assets.churchofjesuschrist.org/32/7d/327d372c89e0e01fc2ea425649f8573023346fed/copenhagen_denmark_temple_lds.jpeg,Copenhagen Denmark
https://assets.churchofjesuschrist.org/32/ba/32bac652cd9452c26235520f3e436e7ffbeeea37/dallas_temple_lds.jpeg,Dallas
https://assets.churchofjesuschrist.org/34/3c/343ce8def08b60587ce3d24aa36522110586f8e5/cedar_city_utah_temple_exterior.jpeg,Cedar City Utah
https://assets.churchofjesuschrist.org/35/fd/35fd231831506d3e7ae534b1a2017fd387980433/asuncion_paraguay_temple_lds.jpeg,Asuncion Paraguay
https://assets.churchofjesuschrist.org/36/e4/36e4c4f367cfab006feb507790c6d9e94c5d146c/freiberg_germany_temple_lds.jpeg,Freiberg Germany
https://assets.churchofjesuschrist.org/37/52/37521ddce9cdd44e764065ca947984a032d76cb7/columbia_temple.jpeg,Columbia
https://assets.churchofjesuschrist.org/39/6d/396dd44dcb8c55b10150bae7f3916389465acc0d/buenos_aires_argentina_temple.jpeg,Buenos Aires Argentina
https://assets.churchofjesuschrist.org/39/a3/39a3e4569dce11ee8cc6eeeeac1ee84f4e58bee6/taylorsville_utah_temple_exteriors.jpeg,Taylorsville Utah
https://assets.churchofjesuschrist.org/3a/45/3a450c005268d43969dba8e83fd6ce5b1c951b71/san_antonio_temple_lds.jpeg,San Antonio
https://assets.churchofjesuschrist.org/3a/57/3a576e7992d0ccd390d9019e33265ddad023f556/london_england_temple_lds.jpeg,London England
https://assets.churchofjesuschrist.org/41/d0/41d0e12caf1b11eeade8eeeeac1e143c68067e1d/puebla_mexico_temple_exterior.jpeg,Puebla Mexico
https://assets.churchofjesuschrist.org/43/22/4322fca8472487acd3565aafb0da7e6056c57a22/sacramento_temple_lds.jpeg,Sacramento
https://assets.churchofjesuschrist.org/43/b4/43b4d1fc7fabb818f10b6e092a3b58e1984f8e96/logan_utah_temple.jpeg,Logan Utah
https://assets.churchofjesuschrist.org/44/a8/44a8a9d03382b7127fa858af78cfcd83d63ad275/columbia_river_temple_lds.jpeg,Columbia River
https://assets.churchofjesuschrist.org/46/42/46421eafb006a52f0113615ee4f532cf222e8fd8/oklahoma_temple_lds.jpeg,Oklahoma
https://assets.churchofjesuschrist.org/46/62/4662e2d43b8c11ee8ebbeeeeac1e96e336e9e2cf/bangkok_thailand_temple_exteriors.png,Bangkok Thailand
https://assets.churchofjesuschrist.org/46/63/4663d74ec200cdce7db6e797348d509c994137a7/barranquilla_colombia_temple_exterior.jpeg,Barranquilla Colombia
https://assets.churchofjesuschrist.org/46/91/46910789b4c911eeaf5feeeeac1ed77e9a30ef3f/urdaneta_philippines_temple_exterior.jpeg,Urdaneta Philippines
https://assets.churchofjesuschrist.org/48/44/48446444a7b8d2d2aebe3e3cfc2706d7b026a464/veracruz_mexico_temple_lds.jpeg,Veracruz Mexico
https://assets.churchofjesuschrist.org/49/ce/49ce57ffd3ae51ba9b29e6dc5d6b156c79e08dd2/boston_temple_lds.jpeg,Boston
https://assets.churchofjesuschrist.org/4a/92/4a9292199a4f481a72d7fe4c4c67845a4b2d83e6/curitiba_brazil_temple_lds.jpeg,Curitiba Brazil
https://assets.churchofjesuschrist.org/4b/12/4b129a33b4b311ee9c99eeeeac1e820ae5a7a3bb/coban_guatemala_temple_exteriors.jpeg,Coban Guatemala
https://assets.churchofjesuschrist.org/4b/f9/4bf9d39bb528bad9ce09a57058c2ceffc2f37cbb/idaho_fall_temple_pond.jpeg,Idaho Fall Temple
https://assets.churchofjesuschrist.org/4c/e7/4ce7ba3b22bd0abef0e4ae25030920b398425cbd/exterior_sapporo_japan_temples.jpeg,Exterior Sapporo Japan
https://assets.churchofjesuschrist.org/4e/35/4e35ef2858432da81d11185b5e6dece42f7b1105/porto_alegre_brazil_temple_lds.jpeg,Porto Alegre Brazil
https://assets.churchofjesuschrist.org/4f/13/4f1313d912b16ff535921025812d2332ca0f8e99/tokyo_japan_temple_lds.jpeg,Tokyo Japan
